urhobo,english
Search,And God called the dry
Emama re akpọ kugbe Ohwo,"Earth, and the gathering together of the waters He called Seas. And God saw that"
1Nẹ otọ rhe Ọghẹnẹ vwọ ma odjuvwu vẹ akpọ.,good.
Nẹ otọ rhe Ọghẹnẹ vwọ ma odjuvwu vẹ akpọ.,"11Then God said, “Let the earth#Ps. 65:9–13; 104:14; Heb. 6:7bring forth grass, the herbthatyields seed,andthe#2 Sam. 16:1; Luke 6:44fruit treethatyields fruit according to its kind, whose seedisin itself, on the earth”; and it was so."
"2Akpọ na da de dia reghe reghe diodi, ebrin da enu rẹ akpọ na duvwu; Erhi rẹ Ọghẹnẹ kọye re yan vwẹ enu rẹ ame na.","Then God said, “Let the earth"
"Akpọ na da de dia reghe reghe diodi, ebrin da enu rẹ akpọ na duvwu; Erhi rẹ Ọghẹnẹ kọye re yan vwẹ enu rẹ ame na.",#Ps. 65:9–13; 104:14; Heb. 6:7
"3Etiyin Ọghẹnẹ da ta, E gbe jẹn orẹmrẹ dia, orẹmrẹ da ghene dia.",Ps. 65:9–13; 104:14; Heb. 6:7
"Etiyin Ọghẹnẹ da ta, E gbe jẹn orẹmrẹ dia, orẹmrẹ da ghene dia.","bring forth grass, the herb"
4Ọghẹnẹ da mrẹ nẹ orẹmrẹ na yoma; Ọghẹnẹ da hẹriẹ orẹmrẹ na nẹ ebrin na.,that
Ọghẹnẹ da mrẹ nẹ orẹmrẹ na yoma; Ọghẹnẹ da hẹriẹ orẹmrẹ na nẹ ebrin na.,"yields seed,"
"5Ọghẹnẹ de se orẹmrẹ na Uvo, o de rhe se ebrin na Ason. Te ovwọnvwọn te irhiọke da dia ẹdẹ rẹsosuọ.",and
"Ọghẹnẹ de se orẹmrẹ na Uvo, o de rhe se ebrin na Ason. Te ovwọnvwọn te irhiọke da dia ẹdẹ rẹsosuọ.",the
"6Ọghẹnẹ da tanẹ, Gbe jẹn irharheghe dia uherevie rẹ ame na, rere ọ hẹriẹ ame na vwo nẹ ame na.",#2 Sam. 16:1; Luke 6:44
"Ọghẹnẹ da tanẹ, Gbe jẹn irharheghe dia uherevie rẹ ame na, rere ọ hẹriẹ ame na vwo nẹ ame na.",2 Sam. 16:1; Luke 6:44
7Ọghẹnẹ da ma irharheghe na o da hẹriẹ ame rọ obotọ rẹ irharheghe na vwo nẹ ame rọ obenu rẹ irharheghe na. O da ghene dia ọtiọye.,fruit tree
Ọghẹnẹ da ma irharheghe na o da hẹriẹ ame rọ obotọ rẹ irharheghe na vwo nẹ ame rọ obenu rẹ irharheghe na. O da ghene dia ọtiọye.,"yields fruit according to its kind, whose seed"
8Ọghẹnẹ de se irharheghe na Odjuvwu. Te ovwọnvwọn te irhiọke da dia ẹdẹ rivẹ.,"in itself, on the earth”; and it was so."
Ọghẹnẹ de se irharheghe na Odjuvwu. Te ovwọnvwọn te irhiọke da dia ẹdẹ rivẹ.,"12And the earth brought forth grass, the herbthatyields seed according to its kind, and the treethatyields fruit, whose seedisin itself according to its kind. And God saw thatitwasgood."
"9Ọghẹnẹ da ta, Gbe jẹn ame rẹ otọ rẹ odjuvwu na rhi koko oma vwẹ asan ọvo, rere e ji otọ ọyaya vwẹ oma phia. Ọ da ghene dia ọtiọye.","And the earth brought forth grass, the herb"
"Ọghẹnẹ da ta, Gbe jẹn ame rẹ otọ rẹ odjuvwu na rhi koko oma vwẹ asan ọvo, rere e ji otọ ọyaya vwẹ oma phia. Ọ da ghene dia ọtiọye.","yields seed according to its kind, and the tree"
"10Ọghẹnẹ se otọ ọyaya na Otọ, ame rọ rha ghwe koko asan ọvo na o de rhe se Urhie, Ọghẹnẹ da mrẹ ne oyoma.","yields fruit, whose seed"
"Ọghẹnẹ se otọ ọyaya na Otọ, ame rọ rha ghwe koko asan ọvo na o de rhe se Urhie, Ọghẹnẹ da mrẹ ne oyoma.",in itself according to its kind. And God saw that
"11Ọghẹnẹ da ta, Gbe jẹn otọ na di ẹbe, irhe re mọn kugbe irhe re emamọ rẹ ibi dia evun rayen, durhe doghere rọye vwe evun rẹ otọ na. O da ghene dia ọtiọye.",13So the evening and the morning were the third day.
"Ọghẹnẹ da ta, Gbe jẹn otọ na di ẹbe, irhe re mọn kugbe irhe re emamọ rẹ ibi dia evun rayen, durhe doghere rọye vwe evun rẹ otọ na. O da ghene dia ọtiọye.",So the evening and the morning were the third day.
"12Otọ na de ghine di ẹbe, irhe re mọn emamọ durhe doghere rọye kugbe irhe re mọn emamọ rẹ ibi dia evun rayen, durhe doghẹre rọye Ọghẹnẹ da mrẹ nẹ oyoma.","14Then God said, “Let there be#Deut. 4:19; Ps. 74:16; 136:5–9lights in the firmament of the heavens to divide the day from the night; and let them be for signs and#Ps. 104:19seasons, and for days and years;"
"Otọ na de ghine di ẹbe, irhe re mọn emamọ durhe doghere rọye kugbe irhe re mọn emamọ rẹ ibi dia evun rayen, durhe doghẹre rọye Ọghẹnẹ da mrẹ nẹ oyoma.","Then God said, “Let there be"
13Te ovwọnvwọn te irhiọke da dia ẹdẹ rerha.,#Deut. 4:19; Ps. 74:16; 136:5–9
Te ovwọnvwọn te irhiọke da dia ẹdẹ rerha.,Deut. 4:19; Ps. 74:16; 136:5–9
"14Ọghẹnẹ da ta, Gbe jẹn orẹmrẹ phia vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ hẹriẹ uvo nẹ ason, re ayen dia kẹ oka kugbe ọke vẹ ẹdẹ te ukpe,",lights in the firmament of the heavens to divide the day from the night; and let them be for signs and
"Ọghẹnẹ da ta, Gbe jẹn orẹmrẹ phia vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ hẹriẹ uvo nẹ ason, re ayen dia kẹ oka kugbe ọke vẹ ẹdẹ te ukpe,",#Ps. 104:19
15gbe jẹn ayen dia orẹmrẹ vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ vwẹ orẹmrẹ kẹ akpọ na. O da ghene dia ọtiọye.,Ps. 104:19
gbe jẹn ayen dia orẹmrẹ vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ vwẹ orẹmrẹ kẹ akpọ na. O da ghene dia ọtiọye.,"seasons, and for days and years;"
